,Unnamed: 0.1,file,trans,speaker,start,end,duration,dialect,dialect_int,trans_length,trans_int,edu,work,age,edu_int,work_int,age_int
29,58653,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_02_1.wav,THEN IF YOU GET HIM USED TO A COMMAND,DCA_se2_ag2_m_02,585.1641,587.0059,1.8418000000000347,africa_american,0,37,21 9 6 15 28 10 7 28 26 16 22 28 8 6 21 28 9 10 14 28 22 20 6 5 28 21 16 28 2 28 4 16 14 14 2 15 5,High School,Upper Working Class,20 to 29,3,5,1
30,12719,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,BY ANY CHANCE HE WAS ON A BASE,DCA_se2_ag1_m_05,327.9085,329.4846,1.5760999999999967,africa_american,0,30,3 26 28 2 15 26 28 4 9 2 15 4 6 28 9 6 28 24 2 20 28 16 15 28 2 28 3 2 20 6,High School,Upper Working Class,-19,3,5,0
34,35589,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_03_1.wav,I GOT A POODLE I SAW IT IN THE BOOK,DCA_se3_ag1_f_03,1619.6916,1621.6967,2.0050999999998567,africa_american,0,35,10 28 8 16 21 28 2 28 17 16 16 5 13 6 28 10 28 20 2 24 28 10 21 28 10 15 28 21 9 6 28 3 16 16 12,Student_ms,Lower Middle Class,-19,8,0,0
35,19752,coraal/DCA_audio_2018.10.06/DCA_se1_ag4_m_02_1.wav,I KNOW I'VE BEEN GONE FOR FIVE TEN YEARS BUT,DCA_se1_ag4_m_02,2057.7942,2060.026,2.2318000000000207,africa_american,0,44,10 28 12 15 16 24 28 10 1 23 6 28 3 6 6 15 28 8 16 15 6 28 7 16 19 28 7 10 23 6 28 21 6 15 28 26 6 2 19 20 28 3 22 21,Some High School,Lower Working Class,51+,5,1,3
36,7076,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_06_1.wav,WHEN I USED TO WORK IN THE HOT SHOP UH,DCA_se3_ag1_m_06,1284.7112,1286.5645,1.8532999999999904,africa_american,0,38,24 9 6 15 28 10 28 22 20 6 5 28 21 16 28 24 16 19 12 28 10 15 28 21 9 6 28 9 16 21 28 20 9 16 17 28 22 9,Student_hs,Lower Middle Class,-19,7,0,0
37,51466,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_05_1.wav,AND THEN IT WAS ANOTHER TIME I WAS GETTING MY TONSILS OUT LAST YEAR,DCA_se2_ag1_f_05,1403.6591,1406.61,2.95089999999982,africa_american,0,67,2 15 5 28 21 9 6 15 28 10 21 28 24 2 20 28 2 15 16 21 9 6 19 28 21 10 14 6 28 10 28 24 2 20 28 8 6 21 21 10 15 8 28 14 26 28 21 16 15 20 10 13 20 28 16 22 21 28 13 2 20 21 28 26 6 2 19,Student_ms,Upper Working Class,-19,8,5,0
38,57077,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_01_1.wav,WELL THE FIRST ONE MY FATHER ACCIDENTALLY STEPPED ON,DCA_se3_ag1_m_01,668.5275,671.5118,2.984299999999962,africa_american,0,52,24 6 13 13 28 21 9 6 28 7 10 19 20 21 28 16 15 6 28 14 26 28 7 2 21 9 6 19 28 2 4 4 10 5 6 15 21 2 13 13 26 28 20 21 6 17 17 6 5 28 16 15,Student_ms,Upper Class,-19,8,3,0
49,17137,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_02_1.wav,UH WHEN WHICH SCHOOL,DCA_se3_ag2_f_02,565.4447,567.2203,1.7755999999999403,africa_american,0,20,22 9 28 24 9 6 15 28 24 9 10 4 9 28 20 4 9 16 16 13,Some College,Lower Middle Class,20 to 29,4,0,1
52,14582,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_01_1.wav,MY FIRST GRADE TEACHER,DCA_se3_ag1_f_01,1300.5483,1302.2428,1.6945000000000618,africa_american,0,22,14 26 28 7 10 19 20 21 28 8 19 2 5 6 28 21 6 2 4 9 6 19,Student_ms,Lower Middle Class,-19,8,0,0
53,1843,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_01_1.wav,THERE WERE SOME BAD PEOPLE THAT UM,DCA_se2_ag1_f_01,674.3112,676.3862,2.075000000000045,africa_american,0,34,21 9 6 19 6 28 24 6 19 6 28 20 16 14 6 28 3 2 5 28 17 6 16 17 13 6 28 21 9 2 21 28 22 14,Student_ms,Upper Working Class,-19,8,5,0
57,56958,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_f_01_1.wav,A SMITH ROYAL OR SOMETHING LIKE THAT,DCA_se3_ag3_f_01,1402.0118,1404.3656,2.3538000000000916,africa_american,0,36,2 28 20 14 10 21 9 28 19 16 26 2 13 28 16 19 28 20 16 14 6 21 9 10 15 8 28 13 10 12 6 28 21 9 2 21,High School,Lower Middle Class,30 to 50,3,0,2
67,36691,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_2.wav,WE USED TO TALK EXTENSIVELY ABOUT UM,DCA_se3_ag3_m_01,693.8223,696.4989,2.6766000000000085,africa_american,0,36,24 6 28 22 20 6 5 28 21 16 28 21 2 13 12 28 6 25 21 6 15 20 10 23 6 13 26 28 2 3 16 22 21 28 22 14,Some College,Upper Middle Class,30 to 50,4,4,2
72,30405,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_f_05_1.wav,SOMETHING MADE UP ABOUT TARZAN,DCA_se1_ag1_f_05,164.704,166.8629,2.1588999999999885,africa_american,0,30,20 16 14 6 21 9 10 15 8 28 14 2 5 6 28 22 17 28 2 3 16 22 21 28 21 2 19 27 2 15,Student_ms,Lower Working Class,-19,8,1,0
74,41644,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_02_1.wav,HOLD 'EM BACK WHEN WE WERE TOLD TO,DCA_se2_ag1_m_02,680.6034,682.3955,1.7921000000000047,africa_american,0,34,9 16 13 5 28 1 6 14 28 3 2 4 12 28 24 9 6 15 28 24 6 28 24 6 19 6 28 21 16 13 5 28 21 16,Student_hs,Upper Working Class,-19,7,5,0
82,46796,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_05_1.wav,BUT I LIKE UM,DCA_se2_ag1_f_05,106.9231,108.4566,1.5334999999999894,africa_american,0,13,3 22 21 28 10 28 13 10 12 6 28 22 14,Student_ms,Upper Working Class,-19,8,5,0
86,893,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_03_1.wav,AND YOU KNOW IF THEY CATCH US THEY HAD TO BRING US BACK,DCA_se2_ag1_f_03,27.3459,29.376,2.0300999999999974,africa_american,0,55,2 15 5 28 26 16 22 28 12 15 16 24 28 10 7 28 21 9 6 26 28 4 2 21 4 9 28 22 20 28 21 9 6 26 28 9 2 5 28 21 16 28 3 19 10 15 8 28 22 20 28 3 2 4 12,Student_ms,Upper Working Class,-19,8,5,0
89,30091,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_f_01_1.wav,ENOUGH TO HAVE A DOLL HOUSE,DCA_se1_ag3_f_01,58.1429,59.9005,1.7576000000000036,africa_american,0,27,6 15 16 22 8 9 28 21 16 28 9 2 23 6 28 2 28 5 16 13 13 28 9 16 22 20 6,High School,Lower Working Class,30 to 50,3,1,2
92,50735,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_2.wav,I COULD SEE A CAR TURNING UP AND COMING STRAIGHT UP THE HILL,DCA_se2_ag1_m_05,381.9041,384.7332,2.829099999999982,africa_american,0,60,10 28 4 16 22 13 5 28 20 6 6 28 2 28 4 2 19 28 21 22 19 15 10 15 8 28 22 17 28 2 15 5 28 4 16 14 10 15 8 28 20 21 19 2 10 8 9 21 28 22 17 28 21 9 6 28 9 10 13 13,High School,Upper Working Class,-19,3,5,0
93,33887,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_2.wav,I REMEMBER PUSHING THE CAR OUT OF THE CORN FIELD,DCA_se3_ag3_m_01,1179.1695,1181.3937,2.22420000000011,africa_american,0,48,10 28 19 6 14 6 14 3 6 19 28 17 22 20 9 10 15 8 28 21 9 6 28 4 2 19 28 16 22 21 28 16 7 28 21 9 6 28 4 16 19 15 28 7 10 6 13 5,Some College,Upper Middle Class,30 to 50,4,4,2
105,33574,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_07_1.wav,AND THEY SAY SHE'S THE LEADER BECAUSE,DCA_se2_ag1_f_07,1311.148,1312.9432,1.7952000000000226,africa_american,0,37,2 15 5 28 21 9 6 26 28 20 2 26 28 20 9 6 1 20 28 21 9 6 28 13 6 2 5 6 19 28 3 6 4 2 22 20 6,Student_hs,Upper Working Class,-19,7,5,0
106,48849,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_02_1.wav,WHO WANTED TO BE A PATROL BOY AND,DCA_se2_ag1_m_02,642.2863,643.8456,1.5593000000000077,africa_american,0,33,24 9 16 28 24 2 15 21 6 5 28 21 16 28 3 6 28 2 28 17 2 21 19 16 13 28 3 16 26 28 2 15 5,Student_hs,Upper Working Class,-19,7,5,0
112,13664,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_1.wav,YOU CAN GO AROUND THE HOUSES AND AROUND THE GARAGES AND THE SHEDS AND WHAT HAVE YOU,DCA_se3_ag3_m_01,187.5729,192.561,4.9880999999999736,africa_american,0,83,26 16 22 28 4 2 15 28 8 16 28 2 19 16 22 15 5 28 21 9 6 28 9 16 22 20 6 20 28 2 15 5 28 2 19 16 22 15 5 28 21 9 6 28 8 2 19 2 8 6 20 28 2 15 5 28 21 9 6 28 20 9 6 5 20 28 2 15 5 28 24 9 2 21 28 9 2 23 6 28 26 16 22,Some College,Upper Middle Class,30 to 50,4,4,2
120,2339,coraal/DCA_audio_2018.10.06/DCA_se2_ag3_m_01_1.wav,AND WE'D GO DOWN THE RAILROAD TRACKS YOU KNOW,DCA_se2_ag3_m_01,2473.9651,2475.7827,1.8176000000003116,africa_american,0,45,2 15 5 28 24 6 1 5 28 8 16 28 5 16 24 15 28 21 9 6 28 19 2 10 13 19 16 2 5 28 21 19 2 4 12 20 28 26 16 22 28 12 15 16 24,Some High School,Upper Working Class,30 to 50,5,5,2
129,28893,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_1.wav,SHE WAS AN EXCELLENT TEACHER,DCA_se3_ag3_m_01,1577.6992,1578.9071,1.2078999999998814,africa_american,0,28,20 9 6 28 24 2 20 28 2 15 28 6 25 4 6 13 13 6 15 21 28 21 6 2 4 9 6 19,Some College,Upper Middle Class,30 to 50,4,4,2
132,50470,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_02_1.wav,THIS LADY MUST BEEN BUSINESS,DCA_se3_ag1_m_02,1366.6070000000002,1367.9414,1.3343999999997322,africa_american,0,28,21 9 10 20 28 13 2 5 26 28 14 22 20 21 28 3 6 6 15 28 3 22 20 10 15 6 20 20,Student_hs,Upper Middle Class,-19,7,4,0
143,12292,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_05_1.wav,AND THEY HAD A SKI PARTY,DCA_se2_ag1_f_05,236.8613,238.2941,1.4327999999999856,africa_american,0,24,2 15 5 28 21 9 6 26 28 9 2 5 28 2 28 20 12 10 28 17 2 19 21 26,Student_ms,Upper Working Class,-19,8,5,0
147,34801,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_1.wav,UM WITH HIS WORK SO THAT WE COULD GO OUT AND PLAY MM,DCA_se3_ag3_m_01,2539.4792,2543.2807,3.801499999999578,africa_american,0,52,22 14 28 24 10 21 9 28 9 10 20 28 24 16 19 12 28 20 16 28 21 9 2 21 28 24 6 28 4 16 22 13 5 28 8 16 28 16 22 21 28 2 15 5 28 17 13 2 26 28 14 14,Some College,Upper Middle Class,30 to 50,4,4,2
163,50500,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_01_2.wav,WE HAVEN'T BEEN GOING TO THE MIDNIGHT MASS,DCA_se3_ag4_m_01,624.0999,625.6237,1.5237999999999374,africa_american,0,42,24 6 28 9 2 23 6 15 1 21 28 3 6 6 15 28 8 16 10 15 8 28 21 16 28 21 9 6 28 14 10 5 15 10 8 9 21 28 14 2 20 20,College,Unknown,51+,0,2,3
164,18467,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_02_1.wav,BUT IT REALLY SHOCKED ME THAT I REALLY COULD WHIP THE BOY,DCA_se2_ag2_m_02,2700.0657,2702.3319,2.2662000000000257,africa_american,0,57,3 22 21 28 10 21 28 19 6 2 13 13 26 28 20 9 16 4 12 6 5 28 14 6 28 21 9 2 21 28 10 28 19 6 2 13 13 26 28 4 16 22 13 5 28 24 9 10 17 28 21 9 6 28 3 16 26,High School,Upper Working Class,20 to 29,3,5,1
168,119,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_05_1.wav,AND YOU WOULD SAY THE FIRST ONE YOU FIND IS IT OR THE SECOND OR THE LAST,DCA_se2_ag1_f_05,47.6307,50.9449,3.3142,africa_american,0,72,2 15 5 28 26 16 22 28 24 16 22 13 5 28 20 2 26 28 21 9 6 28 7 10 19 20 21 28 16 15 6 28 26 16 22 28 7 10 15 5 28 10 20 28 10 21 28 16 19 28 21 9 6 28 20 6 4 16 15 5 28 16 19 28 21 9 6 28 13 2 20 21,Student_ms,Upper Working Class,-19,8,5,0
174,51291,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_f_02_1.wav,I DON'T KNOW WHO IT IS WHEN I'M NOT AROUND,DCA_se1_ag1_f_02,1820.7992,1822.641,1.8418000000001484,africa_american,0,42,10 28 5 16 15 1 21 28 12 15 16 24 28 24 9 16 28 10 21 28 10 20 28 24 9 6 15 28 10 1 14 28 15 16 21 28 2 19 16 22 15 5,Student_ms,Lower Working Class,-19,8,1,0
179,33278,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_f_01_1.wav,WHICH I FOUND OUT I WASN'T,DCA_se3_ag3_f_01,1014.4378,1016.4543,2.016499999999951,africa_american,0,26,24 9 10 4 9 28 10 28 7 16 22 15 5 28 16 22 21 28 10 28 24 2 20 15 1 21,High School,Lower Middle Class,30 to 50,3,0,2
187,40041,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_03_1.wav,YOU KNOW PREACHING TO HIM TELLING HIM HOW GOOD HE WAS AND,DCA_se2_ag2_m_03,982.8183,985.4505,2.632200000000012,africa_american,0,57,26 16 22 28 12 15 16 24 28 17 19 6 2 4 9 10 15 8 28 21 16 28 9 10 14 28 21 6 13 13 10 15 8 28 9 10 14 28 9 16 24 28 8 16 16 5 28 9 6 28 24 2 20 28 2 15 5,High School,Upper Working Class,20 to 29,3,5,1
189,24449,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_02_1.wav,PUT A LOT OF WORK INTO THE COURSE,DCA_se2_ag1_m_02,830.9048,832.6301,1.7252999999999474,africa_american,0,33,17 22 21 28 2 28 13 16 21 28 16 7 28 24 16 19 12 28 10 15 21 16 28 21 9 6 28 4 16 22 19 20 6,Student_hs,Upper Working Class,-19,7,5,0
195,35736,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_07_1.wav,AND WE USED TO PLAY HOT UM BREAD AND BUTTER,DCA_se2_ag1_f_07,167.0364,169.3341,2.2977000000000203,africa_american,0,43,2 15 5 28 24 6 28 22 20 6 5 28 21 16 28 17 13 2 26 28 9 16 21 28 22 14 28 3 19 6 2 5 28 2 15 5 28 3 22 21 21 6 19,Student_hs,Upper Working Class,-19,7,5,0
220,25124,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_02_1.wav,NO SHE'S REALLY NO CONTEST REALLY,DCA_se2_ag2_m_02,1132.8907,1134.5739999999996,1.6832999999999174,africa_american,0,33,15 16 28 20 9 6 1 20 28 19 6 2 13 13 26 28 15 16 28 4 16 15 21 6 20 21 28 19 6 2 13 13 26,High School,Upper Working Class,20 to 29,3,5,1
225,17937,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_01_2.wav,THEY REMOVED ME FROM THE FIRE FIGHTING DIVISION,DCA_se3_ag4_m_01,288.6818,290.5435,1.8616999999999848,africa_american,0,47,21 9 6 26 28 19 6 14 16 23 6 5 28 14 6 28 7 19 16 14 28 21 9 6 28 7 10 19 6 28 7 10 8 9 21 10 15 8 28 5 10 23 10 20 10 16 15,College,Unknown,51+,0,2,3
226,52320,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_1.wav,PRIEST WAS KILLED ALMOST IMMEDIATELY AS SOON AS HE GOT THERE AND,DCA_se3_ag3_m_01,827.1539,830.5206,3.3666999999999234,africa_american,0,64,17 19 10 6 20 21 28 24 2 20 28 12 10 13 13 6 5 28 2 13 14 16 20 21 28 10 14 14 6 5 10 2 21 6 13 26 28 2 20 28 20 16 16 15 28 2 20 28 9 6 28 8 16 21 28 21 9 6 19 6 28 2 15 5,Some College,Upper Middle Class,30 to 50,4,4,2
230,28664,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_02_1.wav,EXCEPT THE ONES THAT DIDN'T DO ANYTHING,DCA_se2_ag1_m_02,1073.8111,1075.4169,1.6058000000000447,africa_american,0,39,6 25 4 6 17 21 28 21 9 6 28 16 15 6 20 28 21 9 2 21 28 5 10 5 15 1 21 28 5 16 28 2 15 26 21 9 10 15 8,Student_hs,Upper Working Class,-19,7,5,0
232,39346,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_m_01_1.wav,SOME OF THEM,DCA_se1_ag3_m_01,1680.504,1681.765,1.2610000000001946,africa_american,0,12,20 16 14 6 28 16 7 28 21 9 6 14,High School,Lower Working Class,30 to 50,3,1,2
234,39229,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_2.wav,AND GETTING IT BACK UP ON THE ROAD AND WE CAME ON BACK TO WASHINGTON,DCA_se3_ag3_m_01,1181.9755,1185.9156,3.9401000000000295,africa_american,0,68,2 15 5 28 8 6 21 21 10 15 8 28 10 21 28 3 2 4 12 28 22 17 28 16 15 28 21 9 6 28 19 16 2 5 28 2 15 5 28 24 6 28 4 2 14 6 28 16 15 28 3 2 4 12 28 21 16 28 24 2 20 9 10 15 8 21 16 15,Some College,Upper Middle Class,30 to 50,4,4,2
238,36957,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_2.wav,THE INCIDENTS THAT HAPPENED BACK THEN THAT OF COURSE WE HAD NO,DCA_se3_ag3_m_01,263.9428,267.827,3.8842000000000216,africa_american,0,62,21 9 6 28 10 15 4 10 5 6 15 21 20 28 21 9 2 21 28 9 2 17 17 6 15 6 5 28 3 2 4 12 28 21 9 6 15 28 21 9 2 21 28 16 7 28 4 16 22 19 20 6 28 24 6 28 9 2 5 28 15 16,Some College,Upper Middle Class,30 to 50,4,4,2
240,20279,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_f_04_1.wav,UM THAT HE TOOK AND STRANGLE HER,DCA_se1_ag1_f_04,557.2439,558.8436,1.5996999999999844,africa_american,0,32,22 14 28 21 9 2 21 28 9 6 28 21 16 16 12 28 2 15 5 28 20 21 19 2 15 8 13 6 28 9 6 19,Student_ms,Lower Working Class,-19,8,1,0
244,14039,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_04_1.wav,BY YOURSELF AND FINISH IT ALL,DCA_se2_ag1_f_04,820.7314,822.8329,2.101499999999988,africa_american,0,29,3 26 28 26 16 22 19 20 6 13 7 28 2 15 5 28 7 10 15 10 20 9 28 10 21 28 2 13 13,Student_ms,Upper Working Class,-19,8,5,0
246,52132,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_05_1.wav,USING THE PILLS AND SHE WAS UM,DCA_se3_ag1_f_05,227.2479,228.7416,1.4937000000000182,africa_american,0,30,22 20 10 15 8 28 21 9 6 28 17 10 13 13 20 28 2 15 5 28 20 9 6 28 24 2 20 28 22 14,Student_hs,Lower Middle Class,-19,7,0,0
253,6607,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_f_02_1.wav,WOULD UH GO HOME YOU KNOW SO THEY COULD CONGREGATE AT THE SODA SHOP,DCA_se1_ag3_f_02,820.4047,824.0102,3.6055000000000064,africa_american,0,67,24 16 22 13 5 28 22 9 28 8 16 28 9 16 14 6 28 26 16 22 28 12 15 16 24 28 20 16 28 21 9 6 26 28 4 16 22 13 5 28 4 16 15 8 19 6 8 2 21 6 28 2 21 28 21 9 6 28 20 16 5 2 28 20 9 16 17,Some College,Lower Working Class,30 to 50,4,1,2
274,17724,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_08_1.wav,SHE MET THIS SOLDIER,DCA_se1_ag1_m_08,165.8706,167.1622,1.2916000000000167,africa_american,0,20,20 9 6 28 14 6 21 28 21 9 10 20 28 20 16 13 5 10 6 19,High School,Lower Working Class,-19,3,1,0
280,10897,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_02_1.wav,AND UH HE SAID HE WAS GOING TO GIVE ME A CHANCE,DCA_se3_ag4_m_02,1295.9518,1298.3907,2.438899999999876,africa_american,0,47,2 15 5 28 22 9 28 9 6 28 20 2 10 5 28 9 6 28 24 2 20 28 8 16 10 15 8 28 21 16 28 8 10 23 6 28 14 6 28 2 28 4 9 2 15 4 6,High School,Lower Middle Class,51+,3,0,3
289,51916,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_04_1.wav,AND THE BOARDS THE LIGHTS,DCA_se1_ag1_m_04,350.4383,352.2801,1.841799999999978,africa_american,0,25,2 15 5 28 21 9 6 28 3 16 2 19 5 20 28 21 9 6 28 13 10 8 9 21 20,Student_ms,Lower Working Class,-19,8,1,0
295,38974,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_04_1.wav,I HAVE A BALL SHE MAKE ME DO THE WORK I DO THE WORK,DCA_se3_ag1_f_04,2089.0593,2091.6205,2.5612000000000994,africa_american,0,51,10 28 9 2 23 6 28 2 28 3 2 13 13 28 20 9 6 28 14 2 12 6 28 14 6 28 5 16 28 21 9 6 28 24 16 19 12 28 10 28 5 16 28 21 9 6 28 24 16 19 12,Student_hs,Lower Middle Class,-19,7,0,0
297,59738,coraal/DCA_audio_2018.10.06/DCA_se2_ag3_m_03_1.wav,OUTSIDER YOU KNOW AND SHE HAD FOUR CHILDREN OF HER OWN,DCA_se2_ag3_m_03,1957.2525,1959.3859,2.1333999999999382,africa_american,0,54,16 22 21 20 10 5 6 19 28 26 16 22 28 12 15 16 24 28 2 15 5 28 20 9 6 28 9 2 5 28 7 16 22 19 28 4 9 10 13 5 19 6 15 28 16 7 28 9 6 19 28 16 24 15,High School,Upper Working Class,30 to 50,3,5,2
300,34014,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_02_1.wav,AND SHE WAS ELEVEN YEARS OLD,DCA_se2_ag1_f_02,478.5858,479.8063,1.2205000000000157,africa_american,0,28,2 15 5 28 20 9 6 28 24 2 20 28 6 13 6 23 6 15 28 26 6 2 19 20 28 16 13 5,Student_ms,Upper Working Class,-19,8,5,0
